year_bin,count,lead_rate_known,unknown_rate
≤1919,2479,0.372730939895119,0.8332324251597713
1920–1939,2300,0.4895652173913044,0.870895312938535
1940s,544,0.10661764705882353,0.9441707717569786
1950s,558,0.04838709677419355,0.9518176323288144
1960s,495,0.022222222222222223,0.9516931784912658
1970s,577,0.005199306759098787,0.8572135609997525
1980s,2558,0.002736512900703675,0.33679025149079594
1990s,1447,0.006910850034554251,0.25565843621399176
2000–2007,2162,0.010638297872340425,0.25857338820301784
2008+,2672,0.00561377245508982,0.3497201265514724
